Designator,Mid X,Mid Y,Rotation,Layer
C1,90.500000,-43.000000,0,top
C2,90.675000,-46.500000,0,top
C3,90.675000,-57.000000,0,top
C4,132.150000,-42.000000,270,top
C6,122.500000,-111.000000,180,top
C7,96.300000,-109.000000,180,top
C8,80.500000,-69.000000,270,top
C9,90.000000,-68.950000,90,top
C10,92.500000,-68.775000,270,top
C11,143.500000,-39.775000,270,top
C12,175.960000,-39.500000,180,top
C13,200.000000,-39.500000,180,top
C14,183.460000,-57.812500,180,top
C15,207.000000,-57.760000,180,top
C16,188.155000,-76.207500,180,top
C17,212.000000,-76.020000,180,top
C18,188.155000,-94.467500,180,top
C19,212.000000,-94.280000,180,top
C20,183.155000,-112.728000,180,top
C21,207.000000,-112.540000,180,top
C22,176.155000,-130.988000,180,top
C23,200.000000,-130.800000,180,top
D1,103.500000,-108.400000,90,top
D2,96.500000,-97.500000,180,top
D4,140.500000,-34.000000,90,top
D5,148.350000,-36.950000,90,top
F1,106.500000,-96.637500,90,top
FID1,82.500000,-133.000000,0,top
FID2,224.000000,-113.000000,0,top
FID3,160.000000,-30.000000,0,top
J2,113.967500,-96.250000,90,top
J3,113.967500,-70.500000,90,top
J4,113.967500,-82.250000,90,top
L1,78.300000,-112.350000,90,top
Q1,171.300000,-34.440000,0,top
Q2,195.040000,-34.500000,0,top
Q3,178.460000,-52.812500,0,top
Q4,202.040000,-52.760000,0,top
Q5,183.415000,-70.960000,0,top
Q6,207.040000,-71.020000,0,top
Q7,183.415000,-89.220000,0,top
Q8,207.040000,-89.280000,0,top
Q9,178.415000,-107.480000,0,top
Q10,202.040000,-107.540000,0,top
Q11,171.415000,-125.740000,0,top
Q12,195.040000,-125.800000,0,top
R1,90.625000,-49.500000,0,top
R2,90.675000,-60.000000,0,top
R3,132.150000,-45.825000,270,top
R4,132.150000,-49.825000,270,top
R5,108.500000,-72.175000,90,top
R6,108.500000,-76.000000,270,top
R7,184.000000,-39.000000,90,top
R8,175.087500,-30.000000,0,top
R9,167.500000,-40.500000,270,top
R10,208.000000,-38.587500,90,top
R11,198.912500,-30.000000,0,top
R12,191.500000,-40.312500,270,top
R13,191.500000,-57.225000,90,top
R14,182.087500,-48.312500,0,top
R15,174.500000,-58.500000,270,top
R16,215.000000,-56.847500,90,top
R17,205.912000,-48.260000,0,top
R18,198.500000,-58.572500,270,top
R19,196.500000,-75.352500,90,top
R20,187.412500,-66.265000,0,top
R21,179.500000,-76.765000,270,top
R22,220.000000,-75.107500,90,top
R23,210.912000,-66.520000,0,top
R24,203.500000,-76.832500,270,top
R25,196.500000,-93.612500,90,top
R26,186.912000,-84.525000,0,top
R27,179.500000,-95.025000,270,top
R28,220.000000,-93.367500,90,top
R29,210.912000,-84.780000,0,top
R30,203.500000,-95.092500,270,top
R31,191.500000,-111.873000,90,top
R32,182.412000,-102.785000,0,top
R33,174.500000,-113.285000,270,top
R34,215.000000,-111.628000,90,top
R35,205.912000,-103.040000,0,top
R36,198.500000,-113.353000,270,top
R37,184.500000,-130.133000,90,top
R38,175.412000,-121.045000,0,top
R39,167.500000,-131.545000,270,top
R40,208.000000,-129.888000,90,top
R41,198.912000,-121.300000,0,top
R42,191.500000,-131.613000,270,top
R_JMP1,106.537500,-89.500000,0,top
R_JMP2,120.462500,-104.000000,0,top
R_JMP3,78.500000,-100.500000,0,top
R_JMP4,96.500000,-72.500000,0,top
U1,107.750000,-43.540000,0,top
U2,133.362500,-36.450000,270,top
U3,105.100000,-127.925000,270,top
U4,85.312500,-69.050000,270,top
U5,182.000000,-31.500000,90,top
U6,205.690000,-31.540000,90,top
U7,189.000000,-49.812500,90,top
U8,212.690000,-49.800000,90,top
U9,194.190000,-68.455000,90,top
U10,217.690000,-68.060000,90,top
U11,194.190000,-86.715000,90,top
U12,217.690000,-86.320000,90,top
U13,189.190000,-104.975000,90,top
U14,212.690000,-104.580000,90,top
U15,182.190000,-123.235000,90,top
U16,205.690000,-122.840000,90,top
